rank,name,count,frequency
157,Ebert,43462,1:1852
158,Hesse,43403,1:1855
159,Behrens,42981,1:1873
160,Schütz,42904,1:1876
161,Kunz,42611,1:1889
162,Schramm,42387,1:1899
163,Herzog,42232,1:1906
164,Rudolph,42039,1:1915
165,Gruber,41059,1:1961
166,Bayer,40974,1:1965
167,Kunze,40950,1:1966
168,Witt,40940,1:1966
169,Fröhlich,40932,1:1967
170,Nowak,40637,1:1981
171,Geiger,40128,1:2006
172,Stephan,40017,1:2012
173,Maurer,39801,1:2023
174,Bender,39166,1:2055
175,Seitz,39045,1:2062
176,Schultz,38961,1:2066
177,Bachmann,38854,1:2072
178,Adam,38717,1:2079
179,Brinkmann,38433,1:2095
180,Fink,38250,1:2105
181,Kirchner,38102,1:2113
182,Stahl,38004,1:2118
183,Ullrich,38001,1:2119
184,Gerlach,37838,1:2128
185,Breuer,37813,1:2129
186,Steiner,37715,1:2135
187,Gärtner,37567,1:2143
188,Büttner,37480,1:2148
189,Dietz,36689,1:2194
190,Scherer,36573,1:2201
191,Bruns,36562,1:2202
192,Kurz,36463,1:2208
193,Naumann,36391,1:2212
194,Moser,36331,1:2216
195,Brand,36318,1:2217
196,Böhme,36211,1:2223
197,Reichert,36182,1:2225
198,Schlüter,36165,1:2226
199,Ulrich,35900,1:2242
200,Löffler,35757,1:2251
201,Binder,35747,1:2252
202,Janssen,35702,1:2255
203,Heinz,35490,1:2268
204,Wendt,35477,1:2269
205,Blum,35437,1:2272
206,Körner,35253,1:2284
207,Brunner,35022,1:2299
208,Schenk,34993,1:2301
209,Wolter,34903,1:2307
210,Wegner,34817,1:2312
211,Schwab,34799,1:2313
212,Menzel,34777,1:2315
213,Urban,34560,1:2329
214,Schröter,34498,1:2334
215,Krebs,34335,1:2345
216,Göbel,34313,1:2346
217,Heller,34250,1:2351
218,Stark,34189,1:2355
219,Buchholz,34148,1:2358
220,Wirth,34049,1:2364
221,Döring,33888,1:2376
222,Weiss,33867,1:2377
223,Kopp,33412,1:2409
224,Rieger,33403,1:2410
225,Link,33336,1:2415
226,Hinz,33327,1:2416
227,John,33282,1:2419
228,Bartsch,33244,1:2422
229,Meißner,33228,1:2423
230,Reimann,33154,1:2428
231,Wilke,32965,1:2442
232,Hildebrandt,32875,1:2449
233,Unger,32840,1:2451
234,Hirsch,32837,1:2452
235,Bischoff,32614,1:2468
236,Jakob,32584,1:2471
237,Rose,32465,1:2480
238,Pfeifer,32366,1:2487
239,Ackermann,32343,1:2489
240,Rohde,32221,1:2499
241,Schiller,32215,1:2499
242,Sturm,32073,1:2510
243,Westphal,32015,1:2515
244,Köster,31911,1:2523
245,Hennig,31684,1:2541
246,Bach,31605,1:2547
247,Freitag,31593,1:2548
248,Witte,31457,1:2559
249,Engelhardt,31401,1:2564
250,Kröger,31325,1:2570
251,Marquardt,31300,1:2572
252,Fricke,31089,1:2590
253,Ahrens,30951,1:2601
254,Lemke,30926,1:2603
255,Wittmann,30623,1:2629
256,Linke,30562,1:2634
257,Siebert,30509,1:2639
258,Vetter,30470,1:2642
259,Kohl,30412,1:2647
260,Kolb,30356,1:2652
261,Henning,30317,1:2655
262,Heinze,30273,1:2659
263,Noack,30163,1:2669
264,Gebhardt,30116,1:2673
265,Renner,29889,1:2693
266,Reich,29887,1:2694
267,Baier,29881,1:2694
268,Nickel,29871,1:2695
269,Funk,29847,1:2697
270,Keil,29816,1:2700
271,Erdmann,29664,1:2714
272,Kremer,29662,1:2714
273,Mertens,29481,1:2731
274,Pieper,29477,1:2731
275,Martens,29264,1:2751
276,Berndt,29207,1:2756
277,Hanke,29151,1:2762
278,Baum,28960,1:2780
279,Held,28934,1:2782
280,Will,28909,1:2785
281,Münch,28902,1:2785
282,Conrad,28873,1:2788
283,Kiefer,28808,1:2795
284,Bartels,28608,1:2814
285,Hammer,28586,1:2816
286,Esser,28567,1:2818
287,Harms,28444,1:2830
288,Henke,28426,1:2832
289,Mann,28368,1:2838
290,Fuhrmann,28282,1:2847
291,Schlegel,28259,1:2849
292,Stoll,28115,1:2863
293,Kirsch,28056,1:2869
294,Wiese,28047,1:2870
295,Jacob,27745,1:2902
296,Herbst,27684,1:2908
297,Decker,27631,1:2914
298,Klose,27619,1:2915
299,Hamann,27566,1:2920
300,Henkel,27331,1:2946
301,Brückner,27296,1:2949
302,Dittrich,27246,1:2955
303,Schrader,27243,1:2955
304,Neubauer,27178,1:2962
305,Heine,27125,1:2968
306,Nolte,26943,1:2988
307,Krug,26768,1:3008
308,Stadler,26684,1:3017
309,Niemann,26666,1:3019
310,Janßen,26635,1:3023
311,Krieger,26599,1:3027
312,Kuhlmann,26550,1:3032
313,Kluge,26434,1:3046
314,Adler,26422,1:3047
315,Karl,26418,1:3047
316,Röder,26390,1:3051
317,Wiedemann,26349,1:3055
318,Konrad,26342,1:3056
319,Wimmer,26200,1:3073
320,Schön,26094,1:3085
321,Philipp,26071,1:3088
322,Lindemann,25957,1:3101
323,Burkhardt,25922,1:3106
324,Blank,25908,1:3107
325,Hauser,25850,1:3114
326,Großmann,25672,1:3136
327,Zimmer,25642,1:3140
328,Kühne,25631,1:3141
329,Wahl,25531,1:3153
330,Fritsch,25500,1:3157
331,Bader,25476,1:3160
332,Klaus,25464,1:3162
333,Popp,25424,1:3167
334,Steffen,25382,1:3172
335,Heinemann,25176,1:3198
336,Strauß,25114,1:3206
337,Funke,25089,1:3209
338,Bernhardt,25056,1:3213
339,Preuß,24927,1:3230
340,Zander,24924,1:3230
341,Albert,24886,1:3235
342,Lohmann,24841,1:3241
343,Mayr,24806,1:3245
344,Anders,24788,1:3248
345,Haupt,24736,1:3255
345,Hummel,24736,1:3255
347,Brenner,24718,1:3257
348,Probst,24685,1:3261
349,Baur,24615,1:3271
350,Beier,24588,1:3274
351,Jost,24545,1:3280
352,Hartung,24497,1:3286
353,Burger,24463,1:3291
354,Feldmann,24371,1:3303
355,Bode,24337,1:3308
356,Vollmer,24204,1:3326
357,Jordan,24137,1:3335
358,Herold,24001,1:3354
359,Wetzel,23892,1:3370
360,Rothe,23882,1:3371
361,Fleischer,23779,1:3386
362,Behrendt,23721,1:3394
363,Wiegand,23679,1:3400
364,Jacobs,23663,1:3402
365,Rauch,23572,1:3415
366,Wild,23538,1:3420
367,Knoll,23535,1:3421
368,Wegener,23448,1:3433
369,Straub,23350,1:3448
370,Hohmann,23314,1:3453
371,Voß,23250,1:3463
372,Merz,23212,1:3468
373,Reiter,23183,1:3473
374,Christ,23023,1:3497
375,Haag,23017,1:3498
376,Gross,22877,1:3519
377,Neubert,22792,1:3532
378,Reichel,22769,1:3536
379,Schüler,22713,1:3544
380,Strobel,22699,1:3547
381,Albers,22681,1:3549
382,Beer,22677,1:3550
383,Diehl,22629,1:3558
384,Ehlers,22579,1:3566
385,Krauß,22513,1:3576
386,Betz,22459,1:3585
387,Hagen,22431,1:3589
388,Rupp,22423,1:3590
389,Heck,22422,1:3590
390,Schade,22388,1:3596
391,Kroll,22362,1:3600
392,Weise,22240,1:3620
393,Schütte,22079,1:3646
394,Hentschel,22077,1:3647
395,Stock,22031,1:3654
396,Benz,21995,1:3660
397,Rausch,21911,1:3674
398,Wulf,21891,1:3678
399,Metz,21880,1:3679
400,Rapp,21878,1:3680
401,Zeller,21876,1:3680
402,Altmann,21858,1:3683
403,Steffens,21856,1:3683
404,Block,21765,1:3699
405,Geißler,21762,1:3699
406,Weis,21759,1:3700
407,Moritz,21726,1:3705
408,Falk,21722,1:3706
409,Freund,21711,1:3708
410,Eder,21670,1:3715
411,Meister,21505,1:3744
412,Wunderlich,21496,1:3745
413,Kessler,21468,1:3750
414,Seiler,21460,1:3751
415,Giese,21413,1:3760
416,Merkel,21293,1:3781
417,Dörr,21208,1:3796
418,Bittner,21184,1:3800
419,Sonntag,21084,1:3818
420,Jürgens,21082,1:3819
421,Römer,21073,1:3820
422,Gerber,21069,1:3821
423,Hartwig,21043,1:3826
424,Wieland,21017,1:3830
425,Heuer,20901,1:3852
426,Gottschalk,20899,1:3852
427,Bertram,20864,1:3859
428,Born,20853,1:3861
429,Buck,20805,1:3870
430,Lauer,20791,1:3872
430,Raab,20791,1:3872
432,Seeger,20675,1:3894
433,Hinrichs,20652,1:3898
434,Völker,20568,1:3914
435,Timm,20560,1:3916
436,Heil,20542,1:3919
437,Schweizer,20508,1:3926
438,Bühler,20466,1:3934
439,Pape,20457,1:3935
440,Pietsch,20375,1:3951
441,Gabriel,20358,1:3954
442,Hiller,20342,1:3958
443,Runge,20321,1:3962
444,Kellner,20295,1:3967
445,Eichhorn,20294,1:3967
446,Scharf,20276,1:3970
447,Schaefer,20203,1:3985
448,Bär,20190,1:3987
449,Wichmann,20188,1:3988
450,Greiner,20165,1:3992
451,Eberhardt,20048,1:4016
452,Keßler,19927,1:4040
453,Hempel,19920,1:4041
454,Engelmann,19886,1:4048
455,Mueller,19865,1:4053
456,Appel,19785,1:4069
457,Engels,19773,1:4071
458,Weigel,19772,1:4072
459,Moll,19740,1:4078
460,Geyer,19735,1:4079
461,Opitz,19659,1:4095
462,Neuhaus,19629,1:4101
463,Hecht,19560,1:4116
464,Schütze,19492,1:4130
465,Wiesner,19436,1:4142
466,Winkelmann,19407,1:4148
467,Mack,19355,1:4159
468,Radtke,19326,1:4166
469,Dorn,19316,1:4168
470,Seidl,19308,1:4170
471,Lechner,19293,1:4173
472,Hensel,19208,1:4191
473,Heise,19206,1:4192
474,Klemm,19205,1:4192
475,Brüggemann,19189,1:4195
476,Weidner,19183,1:4197
477,Heim,19180,1:4197
478,Eggert,19175,1:4198
479,Brandl,19174,1:4199
480,Scheffler,19159,1:4202
481,Forster,19135,1:4207
482,Hagemann,19094,1:4216
483,Geisler,19090,1:4217
484,Sauter,19054,1:4225
485,Eichler,19021,1:4232
486,Schuler,18992,1:4239
487,Barthel,18987,1:4240
488,Schott,18968,1:4244
489,Oswald,18960,1:4246
490,Auer,18857,1:4269
491,Michels,18849,1:4271
492,Specht,18822,1:4277
493,Reimer,18761,1:4291
494,Stumpf,18721,1:4300
495,Fleischmann,18717,1:4301
496,Neugebauer,18715,1:4302
497,Kretschmer,18712,1:4302
498,Steinbach,18568,1:4336
499,Gebauer,18557,1:4338
500,Brauer,18550,1:4340
501,Wirtz,18548,1:4340
502,Springer,18502,1:4351
503,Bremer,18498,1:4352
504,May,18464,1:4360
505,Otte,18426,1:4369
506,Noll,18342,1:4389
507,Dreyer,18267,1:4407
508,Sievers,18254,1:4410
509,Siegel,18245,1:4412
510,Weller,18240,1:4414
511,Cordes,18221,1:4418
512,Prinz,18214,1:4420
513,Schroeder,18213,1:4420
514,Walz,18192,1:4425
515,Schürmann,18111,1:4445
516,Schnell,18056,1:4459
517,Kohler,18049,1:4460
518,Schaller,18014,1:4469
519,Börner,17997,1:4473
520,Baumgartner,17987,1:4476
521,Singer,17945,1:4486
522,Drescher,17926,1:4491
523,Finke,17923,1:4492
524,Evers,17869,1:4505
525,Gerhardt,17868,1:4506
526,Frenzel,17857,1:4508
527,Horstmann,17804,1:4522
528,Scholl,17757,1:4534
529,Rath,17724,1:4542
530,Uhlig,17698,1:4549
531,Mielke,17688,1:4551
532,Kühl,17652,1:4561
533,Schick,17589,1:4577
534,Junker,17584,1:4578
535,Harder,17576,1:4580
536,Hausmann,17568,1:4583
537,Riedl,17560,1:4585
538,Klotz,17549,1:4587
539,Gerdes,17545,1:4589
540,Dittmann,17488,1:4603
541,Biermann,17486,1:4604
542,Stolz,17480,1:4606
543,Maas,17477,1:4606
544,Kranz,17475,1:4607
545,Langner,17448,1:4614
546,Haug,17439,1:4616
547,Michaelis,17437,1:4617
548,Große,17423,1:4621
549,Rother,17389,1:4630
550,Kahl,17324,1:4647
551,Heitmann,17290,1:4656
552,Eggers,17272,1:4661
553,Faust,17225,1:4674
554,Jensen,17222,1:4675
555,Bürger,17214,1:4677
556,Volk,17199,1:4681
557,Kemper,17191,1:4683
558,Maaß,17180,1:4686
559,Pfaff,17167,1:4690
560,Elsner,17133,1:4699
561,Petzold,17099,1:4708
562,Nguyen,17089,1:4711
563,Eberle,17086,1:4712
564,Schütt,17081,1:4713
565,Kasper,17076,1:4715
566,Haller,17012,1:4732
567,Schnabel,16997,1:4736
568,Faber,16976,1:4742
569,Rösch,16972,1:4743
570,Geier,16879,1:4770
571,Rabe,16860,1:4775
572,Dick,16849,1:4778
573,Pütz,16774,1:4799
574,Höhne,16695,1:4822
575,Schirmer,16694,1:4822
576,Reichelt,16685,1:4825
577,Groth,16650,1:4835
578,Kempf,16639,1:4838
579,Drews,16632,1:4840
580,Thieme,16619,1:4844
581,Fritzsche,16616,1:4845
582,Wittig,16482,1:4884
583,Dürr,16458,1:4892
584,Fries,16446,1:4895
585,Junge,16445,1:4895
586,Knapp,16412,1:4905
587,Abel,16397,1:4910
588,Koller,16394,1:4911
589,Endres,16380,1:4915
590,Kilian,16359,1:4921
591,Thoma,16357,1:4922
592,Matthes,16331,1:4930
593,Ehrhardt,16286,1:4943
594,Paulus,16258,1:4952
595,Behr,16186,1:4974
596,Rademacher,16156,1:4983
597,Hauck,16128,1:4992
598,Heinrichs,16121,1:4994
599,Bohn,16088,1:5004
600,Jahnke,16056,1:5014
601,Thomsen,16013,1:5028
602,Bahr,15970,1:5041
603,Lück,15962,1:5044
604,Korn,15947,1:5048
605,Wehner,15937,1:5051
606,Schober,15929,1:5054
607,Janke,15877,1:5071
608,Hecker,15826,1:5087
609,Dreher,15781,1:5101
610,Rau,15749,1:5112
611,Sattler,15729,1:5118
612,Helbig,15716,1:5123
613,Ullmann,15670,1:5138
614,Rost,15656,1:5142
615,Melzer,15654,1:5143
616,Borchert,15638,1:5148
617,Schaaf,15620,1:5154
618,Weiler,15607,1:5158
619,Götze,15586,1:5165
620,Eckhardt,15558,1:5175
621,Reinhold,15555,1:5176
622,Hellwig,15551,1:5177
622,Leonhardt,15551,1:5177
624,Brockmann,15550,1:5177
625,Klug,15527,1:5185
626,Kurth,15449,1:5211
627,Bernhard,15414,1:5223
628,Klinger,15404,1:5226
629,Blume,15403,1:5227
630,Westermann,15310,1:5258
631,Hildebrand,15303,1:5261
632,Hering,15279,1:5269
633,Lippert,15277,1:5270
634,Heinen,15257,1:5277
635,Hellmann,15212,1:5292
636,Just,15209,1:5293
637,Lehner,15197,1:5297
638,Pilz,15190,1:5300
639,Heimann,15128,1:5322
640,Sperling,15126,1:5322
641,Knorr,15077,1:5340
642,Sprenger,15063,1:5345
643,Trautmann,15015,1:5362
644,Wacker,14993,1:5370
645,Pohlmann,14970,1:5378
646,Friedrichs,14951,1:5385
647,Huth,14932,1:5391
648,Wessel,14925,1:5394
649,Theis,14895,1:5405
650,Stöhr,14854,1:5420
651,Heilmann,14837,1:5426
652,Sieber,14836,1:5426
653,Claus,14776,1:5448
654,Höfer,14775,1:5449
655,Grote,14770,1:5451
656,Rudolf,14733,1:5464
657,Augustin,14731,1:5465
658,Wille,14701,1:5476
659,Wolters,14687,1:5481
660,Gehrke,14686,1:5482
661,Böhmer,14664,1:5490
662,Hartl,14641,1:5499
663,Liedtke,14636,1:5501
664,Burmeister,14626,1:5504
665,Renz,14617,1:5508
666,Kunkel,14596,1:5516
667,Vogler,14564,1:5528
668,Schwarze,14527,1:5542
669,Ries,14496,1:5554
670,Kirchhoff,14492,1:5555
671,Hofer,14474,1:5562
672,Balzer,14440,1:5575
673,Stenzel,14396,1:5592
674,Hornung,14374,1:5601
675,Korte,14342,1:5613
676,Teichmann,14324,1:5620
677,Amann,14318,1:5623
678,Höhn,14301,1:5629
679,Hertel,14270,1:5642
680,Strauch,14256,1:5647
681,Kretzschmar,14250,1:5650
682,Vogl,14246,1:5651
683,Clemens,14222,1:5661
684,Lohse,14186,1:5675
685,Schreiner,14159,1:5686
686,Nitsche,14157,1:5687
687,Wagener,14152,1:5689
688,Lotz,14091,1:5713
689,Kaminski,14071,1:5721
690,Bosch,14025,1:5740
691,Hoyer,14008,1:5747
692,Schweiger,13975,1:5761
693,Starke,13950,1:5771
694,Schönfeld,13936,1:5777
695,Bartel,13928,1:5780
696,Klatt,13927,1:5781
697,Oppermann,13888,1:5797
698,Metzger,13883,1:5799
699,Seemann,13875,1:5802
700,David,13867,1:5806
701,Nitschke,13842,1:5816
702,Schwarzer,13823,1:5824
703,Hafner,13820,1:5825
704,Henze,13817,1:5827
705,Lampe,13816,1:5827
706,Schöne,13809,1:5830
707,Roos,13794,1:5836
708,Engler,13783,1:5841
709,Kock,13753,1:5854
710,Diekmann,13748,1:5856
711,Krieg,13733,1:5862
712,Hess,13705,1:5874
713,Rehm,13693,1:5879
714,Reinhard,13676,1:5887
715,Otten,13647,1:5899
716,Holz,13639,1:5903
717,Schleicher,13611,1:5915
718,Menke,13589,1:5924
719,Heß,13564,1:5935
720,Kersten,13549,1:5942
721,Eisele,13541,1:5945
722,Zink,13532,1:5949
723,Wilde,13527,1:5951
724,Ruppert,13520,1:5955
725,Voss,13512,1:5958
726,Mader,13493,1:5966
727,Lehnert,13489,1:5968
728,Veit,13455,1:5983
729,Behnke,13413,1:6002
730,Cremer,13393,1:6011
731,Trapp,13370,1:6021
732,Heckmann,13351,1:6030
733,Grau,13322,1:6043
734,Baumeister,13312,1:6048
735,Grundmann,13304,1:6051
736,Hampel,13275,1:6064
737,Rößler,13260,1:6071
738,Hagedorn,13254,1:6074
739,Baumgart,13249,1:6076
740,Stiller,13172,1:6112
741,Scheer,13171,1:6112
742,Ehlert,13156,1:6119
743,Küster,13145,1:6124
744,Kolbe,13139,1:6127
745,Heyer,13118,1:6137
746,Petri,13090,1:6150
747,Heider,13083,1:6153
748,Orth,13076,1:6157
749,Pfeffer,13068,1:6161
750,Sachs,13061,1:6164
751,Späth,13026,1:6180
752,Yilmaz,13024,1:6181
753,Brandes,13006,1:6190
754,Ulbrich,13005,1:6190
755,Pfister,12987,1:6199
756,Frick,12952,1:6216
756,Reinke,12952,1:6216
758,Wörner,12903,1:6239
759,Loos,12886,1:6248
760,Kleine,12880,1:6250
761,Keck,12874,1:6253
762,Steinert,12829,1:6275
763,Brüning,12811,1:6284
764,Buschmann,12806,1:6287
765,Stange,12782,1:6298
766,Schweitzer,12771,1:6304
767,Ostermann,12769,1:6305
768,Daniel,12748,1:6315
769,Schuh,12730,1:6324
770,Kirschner,12702,1:6338
771,Brendel,12701,1:6339
772,Tietz,12679,1:6350
772,Widmann,12679,1:6350
774,Baumgärtner,12662,1:6358
775,Michael,12638,1:6370
776,Becher,12633,1:6373
777,Hermes,12630,1:6374
778,Ebner,12620,1:6379
779,Wendel,12612,1:6383
780,Thies,12611,1:6384
781,Muth,12609,1:6385
782,Wulff,12608,1:6385
783,Fritsche,12595,1:6392
784,Reiß,12570,1:6405
785,Kastner,12555,1:6412
786,Schwabe,12545,1:6417
787,Mende,12516,1:6432
788,Horst,12462,1:6460
789,Johannsen,12452,1:6465
790,Schüller,12442,1:6470
791,Heuser,12436,1:6474
792,Jakobs,12409,1:6488
793,Jaeger,12376,1:6505
794,Reitz,12373,1:6507
795,Ewald,12353,1:6517
796,Niemeyer,12336,1:6526
797,Stamm,12335,1:6527
798,Rühl,12333,1:6528
799,Kling,12324,1:6532
800,Hannemann,12304,1:6543
801,Wilms,12299,1:6546
802,Helm,12295,1:6548
803,Mai,12282,1:6555
804,Cramer,12249,1:6572
804,Kühnel,12249,1:6572
806,Riemer,12230,1:6583
807,Jacobi,12225,1:6585
808,Weiland,12220,1:6588
809,Apel,12208,1:6594
810,Rode,12206,1:6596
811,Doll,12205,1:6596
812,Schmidtke,12161,1:6620
813,Adams,12158,1:6622
814,Knobloch,12156,1:6623
815,Hille,12149,1:6627
816,Merten,12133,1:6635
817,Buchner,12114,1:6646
818,Küpper,12113,1:6646
819,Seibert,12095,1:6656
820,Haack,12094,1:6657
821,Eckstein,12085,1:6662
822,Hölscher,12055,1:6678
823,Janzen,12043,1:6685
824,Fürst,12040,1:6686
825,Hager,12035,1:6689
826,Budde,11989,1:6715
827,Baumgarten,11960,1:6731
828,Steinke,11945,1:6740
829,Gehrmann,11942,1:6741
830,Glaser,11940,1:6743
831,Hacker,11939,1:6743
832,Bastian,11938,1:6744
833,Schwartz,11933,1:6746
834,Köhn,11920,1:6754
835,Schiffer,11902,1:6764
836,Eckardt,11899,1:6766
837,Tiedemann,11890,1:6771
838,Heidenreich,11883,1:6775
839,Kugler,11875,1:6779
840,Böttger,11855,1:6791
841,Krohn,11834,1:6803
842,Ebeling,11815,1:6814
843,Lorenzen,11780,1:6834
844,Volz,11755,1:6849
845,Volkmann,11752,1:6850
846,Eilers,11736,1:6860
847,Schell,11732,1:6862
848,Gehring,11730,1:6863
849,Schauer,11728,1:6864
850,Reinecke,11720,1:6869
851,Mühlbauer,11715,1:6872
852,Berthold,11705,1:6878
853,Hanisch,11687,1:6888
854,Mahler,11670,1:6898
855,Büchner,11669,1:6899
856,Ebel,11660,1:6904
857,Weinert,11659,1:6905
858,Thelen,11610,1:6934
859,Stern,11600,1:6940
860,Grund,11575,1:6955
861,Heidrich,11558,1:6965
862,Burghardt,11554,1:6968
863,Gottwald,11553,1:6968
864,Gläser,11532,1:6981
865,Pabst,11521,1:6988
866,Resch,11507,1:6996
867,Reiser,11494,1:7004
868,Wieczorek,11487,1:7008
869,Spies,11479,1:7013
870,Löhr,11468,1:7020
871,Hillebrand,11464,1:7022
872,Hamm,11458,1:7026
873,Jonas,11452,1:7030
874,Schröer,11446,1:7034
875,Ortmann,11435,1:7040
876,Thiemann,11403,1:7060
877,Pauli,11397,1:7064
878,Busse,11385,1:7071
878,Kowalski,11385,1:7071
880,Schaper,11376,1:7077
880,Scheel,11376,1:7077
882,Friedl,11368,1:7082
883,Lukas,11365,1:7084
884,Kübler,11342,1:7098
885,Sachse,11338,1:7100
886,Morgenstern,11325,1:7109
887,Ahlers,11321,1:7111
888,Dieckmann,11310,1:7118
888,Pahl,11310,1:7118
890,Meurer,11302,1:7123
891,Frisch,11292,1:7129
892,Hardt,11278,1:7138
893,Clausen,11232,1:7168
894,Ewert,11229,1:7169
895,Obermeier,11226,1:7171
896,Stratmann,11222,1:7174
897,Schultze,11221,1:7175
898,Reimers,11209,1:7182
899,Rahn,11208,1:7183
900,Holst,11178,1:7202
901,Bormann,11177,1:7203
902,Petermann,11145,1:7223
903,Henn,11134,1:7231
904,Homann,11124,1:7237
905,Ochs,11123,1:7238
906,Enders,11107,1:7248
907,Herz,11106,1:7249
908,Körber,11102,1:7251
909,Paulsen,11079,1:7266
910,Küppers,11058,1:7280
911,Berner,11046,1:7288
912,Kellermann,11030,1:7299
913,Seidler,11029,1:7299
914,Schaub,11016,1:7308
915,Häusler,11013,1:7310
916,Brück,11007,1:7314
917,Scheller,10978,1:7333
918,Boldt,10966,1:7341
919,Emmerich,10957,1:7347
919,Rogge,10957,1:7347
921,Hill,10956,1:7348
922,Armbruster,10953,1:7350
923,Spindler,10947,1:7354
924,Rupprecht,10937,1:7361
925,Grube,10932,1:7364
926,Hinze,10930,1:7366
927,Mangold,10892,1:7391
928,Dietze,10881,1:7399
929,Grün,10880,1:7399
930,Kunert,10868,1:7408
931,Hans,10867,1:7408
932,Sailer,10866,1:7409
933,Zeidler,10863,1:7411
934,Tillmann,10817,1:7442
935,Hoff,10811,1:7447
